192.168.83.1 - - [13/Dec/2016:00:42:37 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:42:54 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:42:58 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:44:00 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:47:18 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:49:18 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:49:40 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:49:54 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:49:59 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:50:24 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:50:42 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
192.168.83.1 - - [13/Dec/2016:00:50:51 +0000] "GET /1481581461.jpg HTTP/1.1" 200 686920 "http://localhost:8100/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
